titulo,descricao,carga_horaria,nivel,status
HTML,Aprenda os fundamentos da estrutura HTML.,10.0,Iniciante,true
CSS,Estilização de páginas com CSS moderno.,12.5,Iniciante,true
JavaScript do Zero,Lógica e interatividade com JS.,20.0,Intermediário,true
React Básico,Construa interfaces com componentes.,18.0,Intermediário,true
Node.js e Express,Criação de APIs REST com Node.js.,22.0,Intermediário,true
Banco de Dados MySQL,Aprenda SQL para manipular dados.,15.0,Iniciante,true
React Avançado,contexto e padrões avançados.,25.0,Avançado,true
Testes com Jest,Escrevendo testes automatizados.,8.0,Avançado,false
Git e GitHub,Versionamento e colaboração.,9.5,Iniciante,true
Deploy com Vercel,Publique apps com Vercel.,6.0,Iniciante,false
Design Responsivo,Layouts adaptáveis com media queries.,11.0,Intermediário,true
TypeScript para React,Tipagem estática em projetos React.,17.0,Avançado,true
Next.js, rotas e deploy em Next.js.,19.0,Intermediário,true
AWS para Devs,Conceitos básicos de AWS e deploy.,14.0,Avançado,false
UX Design para Iniciantes,Princípios de design centrado no usuário.,13.0,Iniciante,true
